group1,group2,meandiff,p-adj,lower,upper,reject
4360,7100,-16126.8638,0.9824,-50368.5585,18114.8308,False
4360,7405,-16289.9994,0.9786,-50240.637,17660.6382,False
4360,7750,-15362.7827,0.9981,-54668.416,23942.8506,False
4360,7784,-2135.3684,1.0,-32454.2572,28183.5205,False
4360,8000,-3606.6921,1.0,-33821.1728,26607.7885,False
7100,7405,-163.1356,1.0,-33798.3512,33472.08,False
7100,7750,764.0811,1.0,-38269.4268,39797.5891,False
7100,7784,13991.4955,0.984,-15973.767,43956.7579,False
7100,8000,12520.1717,0.9954,-17339.4461,42379.7895,False
7405,7750,927.2167,1.0,-37851.2166,39705.6499,False
7405,7784,14154.631,0.9796,-15477.5997,43786.8618,False
7405,8000,12683.3073,0.9939,-16842.0872,42208.7018,False
7750,7784,13227.4144,0.9991,-22414.6411,48869.4698,False
7750,8000,11756.0906,0.9998,-23797.1924,47309.3737,False
7784,8000,-1471.3237,1.0,-26736.6784,23794.0309,False
